STATE,TOTAL ADULT POPULATION,LGBT ADULT POPULATION,LGBT POPULATION DENSITY,PERCENT OF LGBTQ INDIVIDUALS RAISING CHILDREN,PERCENT OF SAME-SEX COUPLES RAISING CHILDREN
ALABAMA,"4,887,871","147,000",3.10,24.00,20.40
ALASKA,"737,438","25,000",3.70,34.00,23.10
AMERICAN SAMOA,"55,519",N/A,N/A,N/A,N/A
ARIZONA,"7,171,646","286,000",4.50,25.00,16.50
ARKANSAS,"3,013,825","95,000",3.30,36.00,21.20
CALIFORNIA,"39,557,045","1,859,000",5.30,24.00,16.00
COLORADO,"5,695,564","234,000",4.60,25.00,15.90
CONNECTICUT,"3,572,665","133,000",3.90,20.00,17.00
DELAWARE,"967,171","40,000",4.50,35.00,15.60
DISTRICT OF COLUMBIA,"702,455","58,000",9.80,9.00,8.70
FLORIDA,"21,299,325","886,000",4.60,24.00,13.30
GEORGIA,"10,519,475","425,000",4.50,27.00,19.60
GUAM,"159,358",N/A,N/A,N/A,N/A
HAWAII,"1,420,491","59,000",4.60,30.00,15.80
IDAHO,"1,754,208","48,000",2.80,44.00,22.30
ILLINOIS,"12,741,080","506,000",4.30,28.00,16.60
INDIANA,"6,691,878","272,000",4.50,34.00,18.90
IOWA,"3,156,145","106,000",3.60,27.00,18.60
KANSAS,"2,911,505","92,000",3.30,33.00,21.80
KENTUCKY,"4,468,402","144,000",3.40,26.00,18.50
LOUISIANA,"4,659,978","169,000",3.90,28.00,19.90
MAINE,"1,338,404","60,000",4.90,21.00,13.80
MARYLAND,"6,042,718","234,000",4.20,20.00,20.30
MASSACHUSETTS,"6,902,149","335,000",5.40,21.00,17.10
MICHIGAN,"9,995,915","373,000",4.00,27.00,18.20
MINNESOTA,"5,611,179","210,000",4.10,28.00,16.50
MISSISSIPPI,"2,986,530","99,000",3.50,34.00,25.70
MISSOURI,"6,126,452","217,000",3.80,26.00,17.30
MONTANA,"1,062,305","30,000",2.90,19.00,22.00
NEBRASKA,"1,929,268","67,000",3.80,32.00,19.60
NEVADA,"3,034,392","145,000",5.50,22.00,17.00
NEW HAMPSHIRE,"1,356,458","59,000",4.70,31.00,16.50
NEW JERSEY,"8,908,520","343,000",4.10,25.00,19.70
NEW MEXICO,"2,095,428","85,000",4.50,29.00,17.80
NEW YORK,"19,542,209","913,000",5.10,22.00,16.40
NORTH CAROLINA,"10,383,620","382,000",4.00,26.00,18.50
NORTH DAKOTA,"760,077","20,000",2.70,10.00,21.60
NORTHERN MARIANA ISLANDS,"53,833",N/A,N/A,N/A,N/A
OHIO,"11,689,442","462,000",4.30,30.00,17.70
OKLAHOMA,"3,943,079","138,000",3.80,38.00,20.90
OREGON,"4,190,713","207,000",5.60,23.00,16.30
PENNSYLVANIA,"12,807,060","490,000",4.10,27.00,15.90
PUERTO RICO,"3,195,153",N/A,N/A,N/A,N/A
RHODE ISLAND,"1,057,315","44,000",4.50,19.00,15.50
SOUTH CAROLINA,"5,084,127","167,000",3.50,30.00,18.90
SOUTH DAKOTA,"882,235","25,000",3.00,29.00,21.10
TENNESSEE,"6,770,010","223,000",3.50,29.00,18.10
TEXAS,"28,701,845","1,053,000",4.10,29.00,19.80
U.S. VIRGIN ISLANDS,"106,405",N/A,N/A,N/A,N/A
UTAH,"3,161,108","104,000",3.70,40.00,20.10
VERMONT,"626,299","30,000",5.20,23.00,18.60
VIRGINIA,"8,517,685","308,000",3.90,26.00,16.00
WASHINGTON,"7,535,591","342,000",5.20,28.00,15.80
WEST VIRGINIA,"1,805,832","68,000",4.00,31.00,17.80
WISCONSIN,"5,813,568","207,000",3.80,29.00,16.40
WYOMING,"577,737","18,000",3.30,28.00,24.70
